Unnamed: 0,debit_cours_eau_m3s,niveau_cours_eau_m,precipitation,maree,prediction_5h
3927,1.18,0.208,0.4,0.72,0.21058898665574588
3928,1.21,0.211,0.4,0.72,0.20944528351695577
3929,1.21,0.211,0.1,0.72,0.21046922872920287
3930,1.21,0.211,0.1,0.72,0.2107706217879942
3931,1.21,0.211,0.1,0.72,0.21076935472223435
3932,1.19,0.209,0.1,0.72,0.21048768916375973
3933,1.21,0.211,0.1,0.72,0.20981232639422542
3934,1.19,0.209,0.1,0.72,0.2106844949736858
3935,1.21,0.211,0.1,0.72,0.20984587257585535
3936,1.15,0.205,0.1,0.72,0.2106004570360018
3937,1.17,0.207,0.1,0.72,0.20690075768800398
3938,1.17,0.207,0.1,0.72,0.20654509095515391
3939,1.19,0.209,0.1,0.72,0.20697112595471626
3940,1.2,0.21,0.1,0.72,0.20925235333384198
3941,1.19,0.209,0.1,0.72,0.20991304556114362
3942,1.19,0.209,0.1,0.72,0.20985107444079257
3943,1.19,0.209,0.1,0.72,0.20974807075235138
3944,1.21,0.211,0.1,0.72,0.2097290768730276
3945,1.23,0.213,0.1,0.72,0.21044952564013933
3946,1.23,0.213,0.1,0.72,0.2122394549707773
3947,1.21,0.211,0.1,0.72,0.2121701660599694
3948,1.21,0.211,0.1,0.72,0.21092931743378604
3949,1.21,0.211,0.2,0.72,0.2107961891132501
3950,1.21,0.211,0.2,0.72,0.21081321126764815
3951,1.19,0.209,0.2,0.72,0.21061277251017219
3952,1.21,0.211,0.2,0.72,0.20960699049998438
3953,1.19,0.209,0.2,0.72,0.21041541840054967
3954,1.19,0.209,0.2,0.72,0.20958479057057694
3955,1.19,0.209,0.2,0.72,0.2095169936825922
3956,1.19,0.209,0.2,0.72,0.20944816595014462
3957,1.19,0.209,0.2,0.72,0.20948345874837437
3958,1.21,0.211,0.2,0.72,0.20945133588478512
3959,1.21,0.211,1.1,0.72,0.21026901111969246
3960,1.23,0.213,1.1,0.72,0.2103130176986398
3961,1.23,0.213,1.1,0.72,0.2122155663593887
3962,1.23,0.213,1.1,0.72,0.21214396642626984
3963,1.23,0.213,1.1,0.72,0.21212601770832112
3964,1.21,0.211,1.1,0.72,0.2122728811847715
3965,1.21,0.211,1.1,0.72,0.21140480676395423
3966,1.24,0.214,1.1,0.72,0.2105858950425874
3967,1.24,0.214,1.1,0.72,0.21329192052930723
3968,1.26,0.216,1.1,0.72,0.21336638760547091
3969,1.26,0.216,0.6,0.78,0.21396134259267818
3970,1.26,0.216,0.6,0.78,0.2139636590585442
3971,1.26,0.216,0.6,0.78,0.21429000490820005
3972,1.27,0.217,0.6,0.78,0.2143970182174179
3973,1.27,0.217,0.6,0.78,0.21497447221508242
3974,1.27,0.217,0.6,0.78,0.2151944589881186
3975,1.27,0.217,0.6,0.78,0.2150304411309757
3976,1.26,0.216,0.6,0.78,0.21498647561373432
3977,1.27,0.217,0.6,0.78,0.21476043246209908
3978,1.25,0.215,0.6,0.78,0.2148155479744269
3979,1.26,0.216,0.1,0.84,0.21470020565138295
3980,1.26,0.216,0.1,0.84,0.21458931409860585
3981,1.28,0.218,0.1,0.84,0.21468539733656045
3982,1.29,0.219,0.1,0.84,0.21500770290364143
3983,1.31,0.221,0.1,0.84,0.21697257277555754
3984,1.31,0.221,0.1,0.84,0.2187106741355948
3985,1.31,0.221,0.1,0.84,0.21831112871712435
3986,1.28,0.218,0.1,0.84,0.21828768892172007
3987,1.26,0.216,0.1,0.84,0.21500704136026738
3988,1.23,0.213,0.1,0.84,0.21499557602690803
3989,1.23,0.213,0.1,0.9,0.21378237203150918
3990,1.25,0.215,0.1,0.9,0.2136804388436781
3991,1.26,0.216,0.1,0.9,0.2149887888369289
3992,1.25,0.215,0.1,0.9,0.21440573553753647
3993,1.28,0.218,0.1,0.9,0.21412130228973825
3994,1.25,0.215,0.1,0.9,0.21436660860134948
3995,1.28,0.218,0.1,0.9,0.2142772923645354
3996,1.28,0.218,0.1,0.9,0.21439946712105548
3997,1.29,0.219,0.1,0.9,0.215810010929338
3998,1.28,0.218,0.1,0.9,0.21668629448788684
3999,1.28,0.218,0.0,1.0,0.21468466659560267
